FName,LName,AreaCode,Phone,City,State,Zip,MaritalStatus,HasChild,Salary,Rate,SingleExemp,ChildExemp
Ruth,Arden, 229,111-1377,WINDER,GA,30680,M,Y,78500,6.0,0,3000
Antony,Lucks, 907,182-1272,KALSKAG,AK,99607,S,Y,35500,0.0,0,0
Kumkum,Reiterman, 401,182-2087,EAST GREENWICH,RI,02818,M,N,76000,0.0,0,0
Tyrone,Kanodia, 787,158-1579,SAN JUAN,PR,00915,S,Y,81000,0.0,0,0
Teruko,Peot, 512,155-1272,CRYSTAL CITY,TX,78839,M,Y,63000,0.0,0,0
Munenori,Jette, 787,158-1150,JUANA DIAZ,PR,00795,M,Y,83000,0.0,0,0
Guhan,Bromley, 405,148-1886,BOSWELL,OK,74727,S,N,63000,6.25,1000,0
Theodosios,Furlani, 302,169-1801,WILMINGTON,DE,19880,M,Y,20500,3.2568183,0,110
Vassilis,Vignollet, 720,129-1443,WALSENBURG,CO,81089,S,Y,72000,4.63,0,0
Willm,Krone, 970,196-1072,BOULDER,CO,80306,S,N,12000,4.63,0,0
Amos,Kittredge, 682,128-2049,CAMPBELLTON,TX,78008,M,N,81000,0.0,0,0
Harpal,Nishanov, 307,101-2019,WESTON,WY,82731,S,N,64500,0.0,0,0
Jiann,Anselstetter, 310,103-1030,ATASCADERO,CA,93422,M,N,23500,5.0560412,0,0
Madeline,Trappl, 812,197-1797,BOSWELL,IN,47921,M,Y,7500,3.4,0,1000
Hanafy,Jullig, 570,109-1987,MENDENHALL,PA,19357,S,Y,81000,3.07,0,0
Candida,Purao, 501,139-1269,EL DORADO,AR,71731,M,Y,4500,1.2631768,0,20
Konrad,Papsdorf, 320,198-1512,WELLS,MN,56097,M,Y,98000,7.85,0,3300
Kimihiro,Furnas, 720,124-1600,HARTMAN,CO,81043,S,Y,5000,4.63,0,0
Wanjiun,Poch, 307,104-1748,OTTO,WY,82434,M,N,5000,0.0,0,0
Erzsebet,Wuwongse, 551,102-2007,ZAREPHATH,NJ,08890,S,N,95000,2.5828125,1000,0
Ubeda,Saraswat, 662,105-2009,PACHUTA,MS,39347,M,Y,39000,5.0,0,1500
Pnina,Tarn, 937,130-1034,CARBONDALE,OH,45717,S,Y,5500,0.72859746,1300,1300
Philippa,Okamura, 443,144-1165,BIVALVE,MD,21814,M,N,70500,4.75,0,0
Deane,Veeraraghavan, 904,173-1528,PORT RICHEY,FL,34673,M,Y,47500,0.0,0,0
Danilo,Nabeshima, 901,147-1191,SILVER POINT,TN,38582,M,N,67000,0.0,0,0
Maynard,Bruha, 947,184-2029,CLAWSON,MI,48017,M,N,65000,3.9,0,0
Fayez,Almohammad, 203,181-1619,BRIDGEPORT,CT,06673,M,N,12000,5.0,0,0
Raja,Eldridge, 253,146-1288,LACROSSE,WA,99143,M,Y,54000,0.0,0,0
Kolar,Moudgil, 206,130-1796,ETHEL,WA,98542,S,Y,17500,0.0,0,0
Mitsue,Greitane, 608,151-1458,MC FARLAND,WI,53558,S,Y,73500,5.7234764,700,400
Stella,Hauskrecht, 601,162-1505,RIDGELAND,MS,39157,M,N,60000,5.0,0,0
Munenori,DeGroot, 989,131-1092,TROUT CREEK,MI,49967,M,N,32000,3.9,0,0
Grigori,Orailoglu, 860,125-1045,SUFFIELD,CT,06080,S,N,92500,5.0,12750,0
Xiangning,Tarantino, 240,134-1792,BALTIMORE,MD,21274,S,N,12500,4.75,2400,0
Lenhart,Balaguer, 570,159-1028,PITTSBURGH,PA,15242,M,Y,10000,3.07,0,0
Palash,Improta, 603,130-1050,WEST OSSIPEE,NH,03890,S,Y,23000,0.0,0,0
Moreno,Rudmik, 931,119-1530,MEMPHIS,TN,38193,S,Y,98500,0.0,0,0
Yunqi,Boydens, 775,127-1823,BOULDER CITY,NV,89006,M,Y,60000,0.0,0,0
Bhuwan,Tsigas, 501,116-1245,SEDGWICK,AR,72465,M,Y,66500,7.0,0,20
Zhiqun,Besancenot, 802,158-1399,MONTPELIER,VT,05603,M,N,24500,3.6,0,0
Turner,Zabih, 808,106-1247,HONOLULU,HI,96846,S,N,44500,8.25,1040,0
Yixun,Rumelhart, 401,108-1615,PRUDENCE ISLAND,RI,02872,S,Y,29000,0.0,0,0
Assia,Doszkocs, 401,105-1289,NEWPORT,RI,02841,S,N,15500,0.0,0,0
Jatin,Tuminaro, 435,180-1396,FIELDING,UT,84311,M,N,13500,7.0,0,0
Ajay,Strijk, 757,167-1718,STRATFORD,VA,22558,M,N,43000,5.75,0,0
Leonie,Wild, 312,112-2021,ELLSWORTH,IL,61737,M,N,21000,3.0,0,0
Supriyo,Nakatake, 907,180-1975,SUTTON,AK,99674,M,N,76000,0.0,0,0
Atila,Vodislav, 251,121-1990,ROANOKE,AL,36274,M,N,14500,5.0,0,0
Bertrand,Matzov, 878,190-1302,ERWINNA,PA,18920,M,N,50500,3.07,0,0
Yoad,Welling, 636,173-1457,POLLOCK,MO,63560,M,N,47500,6.0,0,0
Noburu,McKay, 318,136-1659,WEST MONROE,LA,71294,M,N,67500,6.0,0,0
Dawn,Littlewood, 857,163-1276,GRANVILLE,MA,01034,S,N,77000,5.3,3575,0
Theordore,Esposito, 623,156-1556,GILA BEND,AZ,85337,M,Y,11500,2.89325,0,2300
Bonghan,Babcock, 406,104-1224,FORSYTH,MT,59327,M,Y,84500,6.9,0,1900
Dershung,Farrahi, 520,182-1941,INDIAN WELLS,AZ,86031,M,N,45000,3.4125,0,0
Shuigeng,Calderbank, 251,128-1507,BIRMINGHAM,AL,35285,M,N,57500,5.0,0,0
Hellis,Gorz, 701,107-1326,TOWNER,ND,58788,M,Y,85500,2.7468474,0,3300
Mila,Danecki, 623,162-1798,SUPERIOR,AZ,85173,S,N,53500,3.54425,2100,0
Weidon,Sloman, 304,189-1968,MATHIAS,WV,26812,S,N,50500,5.835,2000,0
Edson,Tartalja, 917,123-1613,HUDSON FALLS,NY,12839,S,N,32500,4.1419206,0,0
Hyunseung,Czech, 801,179-1071,KOOSHAREM,UT,84744,M,N,29500,7.0,0,0
Joscha,Hudelmaier, 530,159-2085,VENTURA,CA,93001,S,N,15000,3.0493855,87,0
Wladslaw,Eichhorn, 240,136-1258,STOCKTON,MD,21864,M,Y,62500,4.75,0,2400
Nayla,Strout, 732,151-1231,TRENTON,NJ,08606,M,N,92500,2.5433855,0,0
Yoshiak,Haskins, 662,155-1317,BELDEN,MS,38826,M,N,31000,5.0,0,0
Pang,Dimakopoulos, 202,105-1450,WASHINGTON,DC,20306,S,Y,89500,9.0,1370,1370
Gianluca,Kirkova, 207,156-1413,WOOLWICH,ME,04579,M,Y,8500,3.8740876,0,2850
Dipayan,Iwaihara, 910,179-1947,RIDGECREST,NC,28770,M,N,12500,6.0,0,0
Aviel,McCandless, 816,173-1188,KANSAS CITY,MO,64187,S,Y,45500,6.0,2100,1200
Kiyokuni,Certaine, 605,170-1697,PLATTE,SD,57369,M,Y,84000,0.0,0,0
Bianca,Khatri, 423,150-1048,LAWRENCEBURG,TN,38464,S,Y,8000,0.0,0,0
Fortney,Lutterkort, 316,199-1939,OSKALOOSA,KS,66066,M,Y,35500,6.45,0,2250
Kennan,Bernardeschi, 605,179-1272,PHILIP,SD,57567,M,N,82500,0.0,0,0
Peiwei,Kipper, 774,182-1715,CHARLTON DEPOT,MA,01509,S,N,34000,5.3,3575,0
Kacem,Rettelbach, 678,103-1231,ALLENTOWN,GA,31003,M,N,36000,6.0,0,0
Guangshun,Reps, 603,188-1122,MILAN,NH,03588,M,Y,2000,0.0,0,0
Uminder,Makrucki, 503,132-1160,IDLEYLD PARK,OR,97447,S,Y,74500,9.0,159,159
Natraj,Kornatzky, 503,104-1981,ADRIAN,OR,97901,S,Y,83000,9.0,159,159
Takatoshi,Visetti, 765,137-1054,BURLINGTON,IN,46915,M,Y,41500,3.4,0,1000
Yiya,Kneece, 678,156-1052,PEACHTREE CITY,GA,30269,S,N,51500,6.0,2700,0
Krishnamoorthy,Nagasamy, 603,153-2084,ELKINS,NH,03233,M,N,14000,0.0,0,0
Jingyu,Sigstam, 603,106-1570,WOLFEBORO,NH,03894,M,Y,52500,0.0,0,0
Seiji,Bothner, 802,184-1294,SOUTH LONDONDERRY,VT,05155,M,N,64000,4.278435,0,0
Kaijung,Iliopoulos, 918,102-1097,TULSA,OK,74182,S,N,24500,6.25,1000,0
Bani,Lonchamp, 603,145-1072,LACONIA,NH,03247,M,N,81000,0.0,0,0
Masamichi,Aucsmith, 202,118-1041,WASHINGTON,DC,20594,M,N,66500,9.0,0,0
Sei'ichi,Sluis, 541,180-1531,WILLIAMS,OR,97544,S,Y,94500,9.0,159,159
Thomas,Edmundson, 425,127-1270,BELMONT,WA,99104,S,Y,24000,0.0,0,0
Narvardin,Sokoler, 574,195-1766,PRAIRIE CREEK,IN,47869,S,Y,25000,3.4,1000,1000
Normand,Gluchowski, 401,103-1933,WEST WARWICK,RI,02893,S,N,67000,0.0,0,0
Hirano,Schmezko, 787,131-2017,CASTANER,PR,00631,S,N,87500,0.0,0,0
Joelle,Baby, 603,118-1673,ORFORD,NH,03777,S,Y,77500,0.0,0,0
Sandra,Hakonen, 205,165-2032,FULTON,AL,36446,S,N,23500,5.0,1500,0
Hirotsugo,Pirk, 769,109-1116,COFFEEVILLE,MS,38922,M,Y,32500,5.0,0,1500
Husam,McGranaghan, 857,175-1391,EAST MANSFIELD,MA,02031,M,N,57000,5.3,0,0
Duro,Deppe, 401,101-1360,WEST KINGSTON,RI,02892,M,N,46500,0.0,0,0
Rejane,Weisert, 662,172-2020,JACKSON,MS,39216,M,N,35000,5.0,0,0
Wen,Stumptner, 580,142-1461,TEXOLA,OK,73668,S,Y,75000,6.25,1000,1000
Shiou,Francisci, 906,143-1116,CARP LAKE,MI,49718,M,N,65000,3.9,0,0
Haixun,Chinen, 440,100-2002,CANTON,OH,44735,S,N,86500,3.4173822,1300,0
Ryotaro,Hylton, 952,157-2055,PEASE,MN,56363,M,N,45000,6.6568303,0,0
Limin,Weusten, 605,128-1495,IPSWICH,SD,57451,M,N,93000,0.0,0,0
Valentina,Camacho, 610,166-1036,WIDNOON,PA,16261,M,Y,60000,3.07,0,0
Umest,Stevens, 802,139-1819,TOPSHAM,VT,05076,S,N,88000,4.755926,3300,0
Rutger,Hallissey, 860,139-1826,WINDSOR,CT,06006,S,Y,62500,5.0,12750,0
Jakov,Piltz, 513,143-1999,ATHENS,OH,45701,S,Y,73000,2.9692512,1300,1300
Monish,Devlin, 337,159-1009,GRAMERCY,LA,70052,M,Y,96000,6.0,0,1000
Fanya,Niessner, 316,136-1052,HIAWATHA,KS,66434,S,Y,49500,6.45,2250,2250
Gurdeep,Manderick, 808,160-1846,HONOLULU,HI,96813,M,N,26000,5.7263155,0,0
Milena,Zweizig, 970,129-1818,YODER,CO,80864,S,N,46500,4.63,0,0
Nobuhiro,Ranft, 605,169-1486,NEW HOLLAND,SD,57364,S,N,32500,0.0,0,0
Naofumi,Engberts, 308,126-1208,OFFUTT A F B,NE,68113,S,N,24000,6.396017,103,0
Yoshiteru,Druffel, 715,108-1105,ELLSWORTH,WI,54011,M,N,13500,4.6809683,0,0
Davood,Leiwo, 603,125-1319,PORTSMOUTH,NH,03803,S,N,32000,0.0,0,0
Rosario,Marandzjan, 308,144-1942,OMAHA,NE,68104,M,Y,84500,6.84,0,103
Joohack,Gofman, 605,122-1858,LITTLE EAGLE,SD,57639,M,N,63000,0.0,0,0
Huaxiong,Sakkinen, 947,144-1001,WILLIS,MI,48191,M,N,90000,3.9,0,0
Dinah,Masullo, 980,178-1814,TABOR CITY,NC,28463,M,N,13500,6.015734,0,0
Achim,Fontaine, 224,132-1967,ROSELLE,IL,60172,S,Y,82000,3.0,2000,2000
Shailendra,Kurakake, 865,183-1156,LOUISVILLE,TN,37777,S,Y,56000,0.0,0,0
Hongfei,Pollatschek, 256,120-1021,PHIL CAMPBELL,AL,35581,M,Y,19500,5.0,0,300
Pin,Buchberger, 336,160-1431,NEW BERN,NC,28561,S,N,42500,6.624126,3300,0
Joaquin,Rene, 770,197-1249,GLENNVILLE,GA,30427,M,Y,95000,6.0,0,3000
Guoxiang,Peris, 410,105-1923,BIG POOL,MD,21711,M,Y,9000,4.75,0,2400
Martins,Cucker, 937,123-1246,SULPHUR SPRINGS,OH,44881,M,N,56500,2.421536,0,0
Bong,Hitson, 360,198-1035,SEATTLE,WA,98115,S,Y,29500,0.0,0,0
Lunjiang,Luan, 603,179-2094,TILTON,NH,03299,M,Y,95000,0.0,0,0
Kihyun,Kees, 702,186-1189,LAS VEGAS,NV,89151,S,N,87500,0.0,0,0
Tatuo,Gerbe, 979,164-1666,CARROLLTON,TX,75006,S,Y,42000,0.0,0,0
Guntram,Gurov, 908,113-1922,LEONARDO,NJ,07737,M,Y,36000,1.6523333,0,1500
IEEE,Benantar, 757,181-1303,GALAX,VA,24333,M,N,79500,5.75,0,0
Shayne,Ismaeil, 505,156-1592,MELROSE,NM,88124,M,N,80500,5.3,0,0
Valentina,Rifa, 205,181-1390,MONTGOMERY,AL,36106,S,N,6000,5.0,1500,0
Watts,Styblinski, 307,160-1022,SHELL,WY,82441,S,Y,29000,0.0,0,0
Reuben,Zongker, 402,149-1777,HERMAN,NE,68029,S,Y,11500,4.1761,103,103
Errol,Luce, 308,171-1440,HOOPER,NE,68031,M,N,15500,4.886473,0,0
Gokhan,Brunn, 636,139-2022,OXLY,MO,63955,S,N,17500,6.0,2100,0
Byunggyu,Prenel, 806,197-1127,SUGAR LAND,TX,77487,M,Y,77000,0.0,0,0
Fangqing,Tuminaro, 386,103-1311,LEHIGH ACRES,FL,33970,M,N,95500,0.0,0,0
Sreenath,Marquard, 602,104-1882,SUN CITY,AZ,85372,M,Y,71500,3.8232498,0,2300
Visalakshi,Wnek, 304,103-1665,CHARLESTON,WV,25309,M,Y,29500,4.365,0,2000
Bijan,Abandah, 605,171-1687,ASTORIA,SD,57213,S,Y,66500,0.0,0,0
Rujith,Wirthlin, 337,182-1369,NEW ORLEANS,LA,70167,M,N,82000,6.0,0,0
Hujun,Mersereau, 435,181-1187,MAGNA,UT,84044,M,Y,54000,7.0,0,2475
Geoffry,Gaedke, 907,124-1604,ANCHORAGE,AK,99509,M,Y,44000,0.0,0,0
Judy,Serbanati, 217,159-1359,ELMWOOD,IL,61529,S,N,10500,3.0,2000,0
Houssem,Grant, 878,117-1264,VALLEY VIEW,PA,17983,M,Y,14000,3.07,0,0
Brindell,Siliprandi, 260,150-1409,HATFIELD,IN,47617,M,N,54000,3.4,0,0
Conor,Alewine, 208,126-1507,BOISE,ID,83712,S,N,40500,7.8,3300,0
Filiz,Kohnert, 574,156-1972,FULDA,IN,47536,S,Y,51500,3.4,1000,1000
Muguel,Gregoire, 435,131-1755,TORREY,UT,84775,M,Y,27000,7.0,0,2475
Shin'ya,Clary, 605,155-2002,GROTON,SD,57445,M,Y,91000,0.0,0,0
Surapol,Balasubrahmanyam, 908,163-1393,AVALON,NJ,08202,M,Y,42500,1.7548437,0,1500
Reshma,Snedden, 304,196-1456,BLOOMERY,WV,26817,M,Y,12000,3.14,0,2000
Owen,Bergere, 405,114-1244,NORMAN,OK,73072,S,N,59000,6.25,1000,0
Kamil,Borucki, 301,149-2066,GERMANTOWN,MD,20875,M,N,7000,4.75,0,0
Sanjiva,Hirshfeld, 606,142-1744,BELLEVUE,KY,41073,M,N,72500,5.861111,0,0
Souji,Tripakis, 787,168-1771,CAROLINA,PR,00985,S,Y,36000,0.0,0,0
Jawahar,Rotzell, 864,108-1762,NESMITH,SC,29580,S,Y,84500,7.0,3300,3300
Augusto,Gulliver, 413,130-1595,FISKDALE,MA,01518,M,N,25000,5.3,0,0
Saydean,Ishigami, 202,187-1842,WASHINGTON,DC,20436,S,Y,60000,9.0,1370,1370
Hinrich,Agostino, 406,141-1559,JEFFERSON CITY,MT,59638,M,Y,62000,6.9,0,1900
Nechama,Cedeno, 757,125-2077,ROWE,VA,24646,S,N,33500,5.75,900,0
Yoonsuck,Unland, 405,190-1057,YALE,OK,74085,S,N,51500,6.25,1000,0
Hideho,Calvary, 440,142-1160,FAIRPOINT,OH,43927,M,Y,10000,0.8779744,0,1300
Wagar,Heiserman, 503,161-1631,MALIN,OR,97632,S,Y,5000,7.4102564,159,159
Takenao,Eby, 830,196-1878,EVADALE,TX,77615,S,Y,34000,0.0,0,0
Ruven,Plutat, 775,189-1143,BOULDER CITY,NV,89006,S,Y,96000,0.0,0,0
Weidon,Kirtane, 848,198-1877,ALLOWAY,NJ,08001,S,Y,66500,2.1333437,1000,1500
Ghassan,Heffernan, 430,151-1276,CARRIZO SPRINGS,TX,78834,M,N,78500,0.0,0,0
Pratyush,Schrott, 774,133-1448,WOODS HOLE,MA,02543,S,Y,84500,5.3,3575,1000
Edward,Normoyle, 878,128-1442,LLEWELLYN,PA,17944,M,N,82500,3.07,0,0
Traugot,Midorikawa, 701,107-1947,RIVERDALE,ND,58565,S,N,85000,2.7410512,3300,0
Raph,Tolly, 262,196-1975,MILWAUKEE,WI,53206,M,Y,58500,5.4628496,0,400
Guadalupe,Welling, 802,165-1821,MOSCOW,VT,05662,M,Y,6000,3.6,0,3300
Hafedh,Elwasif, 724,170-1871,VENUS,PA,16364,S,Y,75000,3.07,0,0
Vittorio,Plesniewicz, 907,182-1959,ANCHORAGE,AK,99511,M,N,83000,0.0,0,0
Binhai,Borrione, 808,144-1760,HAWAII NATIONAL PARK,HI,96718,M,N,16000,3.9236841,0,0
Dionisios,Coullard, 228,121-1996,CANTON,MS,39046,M,N,33000,5.0,0,0
Jihie,Burnell, 859,146-1314,HUDSON,KY,40145,M,N,82500,6.0,0,0
Ono,Wallgren, 202,198-2042,WASHINGTON,DC,20593,M,N,6000,4.5,0,0
Kelvin,Fouchal, 580,113-2077,LOYAL,OK,73756,S,Y,86500,6.25,1000,1000
Michi,Strout, 947,143-1067,HIGHLAND,MI,48357,M,N,20000,3.9,0,0
Grady,Sigle, 601,187-1599,RALEIGH,MS,39153,S,N,37500,5.0,6000,0
Teruya,Cardinael, 972,140-1317,BROWNWOOD,TX,76803,S,N,30500,0.0,0,0
Tapan,Brody, 985,146-1486,LAKE CHARLES,LA,70609,M,N,42000,6.0,0,0
Chokchai,Wolniewicz, 913,124-1349,THAYER,KS,66776,M,N,88000,6.45,0,0
Aristidis,Ouhyoung, 954,133-1296,FORT LAUDERDALE,FL,33315,S,Y,33500,0.0,0,0
Magdy,Coury, 754,130-1918,NAPLES,FL,34110,S,Y,27500,0.0,0,0
Sauli,Hoppenstand, 920,101-1277,FERRYVILLE,WI,54628,S,Y,81000,5.8537903,700,400
Eckehard,Socolovsky, 701,108-1383,MILTON,ND,58260,S,Y,59500,2.4454489,3300,3300
Regine,Pettis, 210,136-1918,HOCHHEIM,TX,77967,S,N,32000,0.0,0,0
Johanna,Holmback, 302,103-1898,KENTON,DE,19955,S,Y,56500,5.711364,110,110
Helfried,Fraysseix, 406,122-1287,TERRY,MT,59349,M,Y,8000,3.899138,0,1900
Tuvi,Zambonelli, 480,196-1018,MIAMI,AZ,85539,S,N,85000,4.0325,2100,0
Dongdai,Schmidt, 928,146-1651,SAINT MICHAELS,AZ,86511,M,Y,97500,4.2262497,0,2300
Jingde,Best, 703,109-1047,RANDOLPH,VA,23962,M,N,28000,5.75,0,0
Libero,Sherertz, 636,187-1157,TRUXTON,MO,63381,M,Y,1500,1.78125,0,1200
Rejane,Haraldson, 608,130-1496,MERRIMAC,WI,53561,S,Y,45000,5.228285,700,400
IJsbrand,Ishizuka, 478,162-1087,HAWKINSVILLE,GA,31036,S,Y,98500,6.0,2700,3000
Kiochi,Haneke, 307,140-1729,CHEYENNE,WY,82008,M,N,29000,0.0,0,0
Prabandham,Schnoebelen, 561,126-1535,BELLEVIEW,FL,34420,S,N,58500,0.0,0,0
Wenci,Swenker, 651,193-1395,WALKER,MN,56484,M,Y,74500,7.85,0,3300
Marek,Cau, 860,143-1164,EAST KILLINGLY,CT,06243,M,Y,74000,5.0,0,0
Mangesh,Collinson, 323,124-2022,WILDOMAR,CA,92595,M,N,52000,9.3,0,0
Billie,Strayer, 308,184-1696,HOMER,NE,68030,S,N,500,2.56,103,0
Kazumasa,Niemeier, 301,138-1943,ANNAPOLIS,MD,21405,M,N,73000,4.75,0,0
Theodore,Gimbel, 484,171-1756,BUCK HILL FALLS,PA,18323,S,N,43500,3.07,0,0
Rattikorn,Siemmens, 701,166-1775,ZEELAND,ND,58581,S,Y,61000,2.4628372,3300,3300
Jianchu,Lanfear, 920,138-1370,MADISON,WI,53726,M,Y,37500,5.0979714,0,400
Veroniek,Vieweg, 601,188-1736,BIG CREEK,MS,38914,M,Y,52500,5.0,0,1500
Anssi,Weicker, 202,145-1204,WASHINGTON NAVY YARD,DC,20376,M,N,40500,9.0,0,0
Lode,Guinther, 641,192-2056,LORIMOR,IA,50149,S,N,69000,8.98,40,0
Kumpati,DiPasquo, 269,168-1937,TUSTIN,MI,49688,M,Y,69500,3.9,0,3100
Carla,Rivierre, 765,158-1790,EVANSVILLE,IN,47714,S,Y,37000,3.4,1000,1000
Athena,Arens, 218,103-1404,MINNEAPOLIS,MN,55420,S,Y,69000,7.85,3300,3300
Juanita,Gawlick, 559,150-1157,KORBEL,CA,95550,S,Y,5500,1.0,87,272
Simo,Lucio, 878,136-2024,DILLINER,PA,15327,S,N,95500,3.07,0,0
Anisoara,Abbas, 503,105-1906,EUGENE,OR,97403,S,Y,43500,9.0,159,159
Dershung,Birrer, 207,147-1308,WATERVILLE,ME,04903,S,N,17500,8.14416,2850,0
Evgenija,Krintz, 702,184-1680,VIRGINIA CITY,NV,89440,M,N,17000,0.0,0,0
Naotaka,Mongenet, 912,182-1744,MANASSAS,GA,30438,S,N,59000,6.0,2700,0
Jangsu,Rene, 401,199-1025,WEST GREENWICH,RI,02817,M,N,38500,0.0,0,0
Greger,Terenzi, 435,160-2041,SANDY,UT,84093,M,Y,58500,7.0,0,2475
Jan,Yezerski, 406,152-1065,MELVILLE,MT,59055,S,Y,67000,6.9,1900,1900
Mia,Kohda, 435,179-1080,LA SAL,UT,84530,S,Y,45500,7.0,2475,2475
Kyunghee,Rajlich, 913,104-1584,NEAL,KS,66863,S,N,79500,6.45,2250,0
Hyunmin,Giannotti, 270,118-1790,MILLSTONE,KY,41838,S,N,40000,4.0555553,20,0
Ivica,Clarysse, 701,190-1361,BEULAH,ND,58523,S,Y,8000,2.1,3300,3300
Heimo,Laurillard, 304,106-1104,HILLTOP,WV,25855,S,N,7000,3.0,2000,0
Onur,Purdin, 262,158-1283,SOLDIERS GROVE,WI,54655,S,Y,90000,6.010166,700,400
Hongbing,Isenberg, 989,134-1858,SIX LAKES,MI,48886,M,Y,30000,3.9,0,3100
Sasa,Junet, 207,124-1349,AUGUSTA,ME,04332,S,Y,22500,8.5,2850,2850
Renato,Neighbors, 843,121-1050,SENECA,SC,29679,M,Y,36500,7.0,0,3300
Boriana,Staes, 765,160-1871,DUGGER,IN,47848,M,Y,93000,3.4,0,1000
Arindam,Chitil, 603,125-1000,NORTH STRATFORD,NH,03590,M,Y,68500,0.0,0,0
Kalman,Ridgeway, 302,168-1592,NEWARK,DE,19713,M,Y,22500,3.3931818,0,110
Joffroy,Boegh, 505,125-1863,PLACITAS,NM,87043,M,Y,59000,5.3,0,3300
Franky,Federman, 971,191-1231,ALBANY,OR,97322,M,N,68500,9.0,0,0
Anatoli,Pragasky, 608,156-1642,GRAND MARSH,WI,53936,M,Y,76500,5.7756023,0,400
Erven,Niblack, 503,172-1473,DAYS CREEK,OR,97429,M,N,44000,9.0,0,0
Mones,Benoit, 401,106-1342,PROVIDENCE,RI,02905,M,Y,11500,0.0,0,0
Gael,Rasch, 580,170-1009,OKLAHOMA CITY,OK,73128,S,N,73000,6.25,1000,0
Hirotsugo,Kabayashi, 401,131-2024,OAKLAND,RI,02858,S,Y,49000,0.0,0,0
Hessam,Sione, 920,140-1124,TISCH MILLS,WI,54240,M,N,47000,5.2630353,0,0
Jiyun,Rafter, 208,172-1141,BLISS,ID,83314,S,N,4000,2.406474,3300,0
Giandomenico,Ducloy, 214,163-1734,HOUSTON,TX,77266,M,Y,14500,0.0,0,0
Wynne,Malhis, 330,184-1438,TRIMBLE,OH,45782,S,N,55500,2.3883412,1300,0
Merlin,Razum, 716,164-1502,SHUSHAN,NY,12873,S,Y,76000,4.3939023,0,1000
Erzsebet,Musse, 980,153-1747,MAPLE,NC,27956,S,Y,84000,7.4947553,3300,3300
Ohad,Sherman, 443,123-1194,BALTIMORE,MD,21283,M,N,51000,4.75,0,0
Mats,Buskens, 862,172-1123,WAYNE,NJ,07474,M,N,1000,1.4,0,0
Arash,Blumann, 281,171-1427,DALLAS,TX,75368,S,N,59000,0.0,0,0
Rayadurgam,Rioboo, 216,156-1296,RARDEN,OH,45671,S,N,42500,1.9568077,1300,0
Barun,Parker, 507,119-1218,DULUTH,MN,55810,S,N,53500,7.1104054,3300,0
Ingmar,Melville, 208,124-1340,POCATELLO,ID,83209,M,N,8500,3.683888,0,0
Rangachari,Bub, 320,167-1899,MINNEAPOLIS,MN,55405,S,Y,32000,5.963127,3300,3300
Etsujiro,Tabuchi, 864,135-1448,GLENDALE,SC,29346,M,Y,75500,7.0,0,3300
Arivind,Baliga, 320,159-2061,STRANDQUIST,MN,56758,M,Y,16000,5.35,0,3300
JoAnna,Govindjee, 423,144-1383,POWDER SPRINGS,TN,37848,S,N,79500,0.0,0,0
Lesley,Uselton, 586,137-1089,ROCK,MI,49880,S,Y,63500,3.9,3100,3100
Ursel,Rande, 239,154-1235,LAKELAND,FL,33810,S,N,72500,0.0,0,0
Gererd,Khadilkar, 917,170-1453,BRONX,NY,10452,S,N,84000,4.4402437,0,0
Blagoja,Deringer, 631,124-1070,BURLINGHAM,NY,12722,S,Y,84500,4.44314,0,1000
Lek,Duong, 202,123-2055,WASHINGTON NAVY YARD,DC,20388,S,Y,71500,9.0,1370,1370
Lucia,Ashish, 307,159-2043,MORAN,WY,83013,M,Y,85500,0.0,0,0
Yoshifumi,Rabehasaina, 308,167-2097,SUTHERLAND,NE,69165,S,N,34000,6.84,103,0
Vishal,Leinwand, 802,118-1199,NORTH BENNINGTON,VT,05257,M,Y,24000,3.6,0,3300
Kanupriya,Bittel, 956,128-1907,PLANO,TX,75024,S,Y,9000,0.0,0,0
Meg,Brendel, 515,123-1746,SABULA,IA,52070,M,N,29500,4.718243,0,0
Ulrik,Redmill, 515,153-1038,LAWLER,IA,52154,S,Y,98000,8.98,40,40
Clelia,McSherry, 706,184-2053,THOMASVILLE,GA,31758,S,Y,34000,6.0,2700,3000
Yingxian,Pavlova, 908,156-1501,PORT MONMOUTH,NJ,07758,S,N,60500,2.0387187,1000,0
Lucian,Gomory, 808,128-1823,HILO,HI,96721,S,N,45000,8.25,1040,0
Selim,Kahn, 602,100-1921,QUEEN CREEK,AZ,85142,M,Y,79000,3.9394999,0,2300
Dhritiman,Rollinson, 561,183-1886,PUNTA GORDA,FL,33983,S,Y,59500,0.0,0,0
Miroslava,Mutka, 907,125-2086,AUKE BAY,AK,99821,S,N,72500,0.0,0,0
Chunhong,Formella, 773,161-1824,LINDENWOOD,IL,61049,S,Y,60000,3.0,2000,2000
Agusti,Kaka, 304,107-1759,FRANKFORD,WV,24938,M,Y,43000,5.3100004,0,2000
Jnan,Jockusch, 202,143-1276,WASHINGTON,DC,20530,S,N,56000,9.0,1370,0
Matteo,Klugerman, 580,174-1808,OKLAHOMA CITY,OK,73128,S,Y,69500,6.25,1000,1000
Silvana,ORiain, 307,125-2006,CODY,WY,82414,M,Y,10500,0.0,0,0
Malur,Yelland, 724,106-1224,HUNTINGDON,PA,16652,M,Y,16000,3.07,0,0
